y,A,Z,N,A^2,A^3,A^4,A^1/2,A^1/3,A^2/3,1/A,1/A^2,1/A^3,1/A^4,A^-1/2,A^-1/3,A^-2/3,Z^2,Z^3,Z^4,Z^1/2,Z^1/3,Z^2/3,1/Z,1/Z^2,1/Z^3,1/Z^4,Z^-1/2,Z^-1/3,Z^-2/3,N^2,N^3,N^4,N^1/2,N^1/3,N^2/3,1/N,1/N^2,1/N^3,1/N^4,N^-1/2,N^-1/3,N^-2/3,Parity
7.6994603,15,7,8,225,3375,50625,3.872983346,2.466212074,6.082201996,0.066666667,0.004444444,0.000296296,1.97531E-05,0.25819889,0.405480133,0.164414138,49,343,2401,2.645751311,1.912931183,3.65930571,0.142857143,0.020408163,0.002915452,0.000416493,0.377964473,0.522757959,0.273275883,64,512,4096,2.828427125,2,4,0.125,0.015625,0.001953125,0.000244141,0.353553391,0.5,0.25,0
7.4636915,15,8,7,225,3375,50625,3.872983346,2.466212074,6.082201996,0.066666667,0.004444444,0.000296296,1.97531E-05,0.25819889,0.405480133,0.164414138,64,512,4096,2.828427125,2,4,0.125,0.015625,0.001953125,0.000244141,0.353553391,0.5,0.25,49,343,2401,2.645751311,1.912931183,3.65930571,0.142857143,0.020408163,0.002915452,0.000416493,0.377964473,0.522757959,0.273275883,0
6.4974597,15,9,6,225,3375,50625,3.872983346,2.466212074,6.082201996,0.066666667,0.004444444,0.000296296,1.97531E-05,0.25819889,0.405480133,0.164414138,81,729,6561,3,2.080083823,4.326748711,0.111111111,0.012345679,0.001371742,0.000152416,0.333333333,0.480749857,0.231120425,36,216,1296,2.449489743,1.817120593,3.301927249,0.166666667,0.027777778,0.00462963,0.000771605,0.40824829,0.550321208,0.302853432,0
4.8687285,15,10,5,225,3375,50625,3.872983346,2.466212074,6.082201996,0.066666667,0.004444444,0.000296296,1.97531E-05,0.25819889,0.405480133,0.164414138,100,1000,10000,3.16227766,2.15443469,4.641588834,0.1,0.01,0.001,0.0001,0.316227766,0.464158883,0.215443469,25,125,625,2.236067977,1.709975947,2.924017738,0.2,0.04,0.008,0.0016,0.447213595,0.584803548,0.341995189,0
4.2852851,16,4,12,256,4096,65536,4,2.5198421,6.349604208,0.0625,0.00390625,0.000244141,1.52588E-05,0.25,0.396850263,0.157490131,16,64,256,2,1.587401052,2.5198421,0.25,0.0625,0.015625,0.00390625,0.5,0.629960525,0.396850263,144,1728,20736,3.464101615,2.289428485,5.241482788,0.083333333,0.006944444,0.000578704,4.82253E-05,0.288675135,0.436790232,0.190785707,1
5.5073535,16,5,11,256,4096,65536,4,2.5198421,6.349604208,0.0625,0.00390625,0.000244141,1.52588E-05,0.25,0.396850263,0.157490131,25,125,625,2.236067977,1.709975947,2.924017738,0.2,0.04,0.008,0.0016,0.447213595,0.584803548,0.341995189,121,1331,14641,3.31662479,2.223980091,4.946087443,0.090909091,0.008264463,0.000751315,6.83013E-05,0.301511345,0.449644313,0.202180008,-1
6.9220546,16,6,10,256,4096,65536,4,2.5198421,6.349604208,0.0625,0.00390625,0.000244141,1.52588E-05,0.25,0.396850263,0.157490131,36,216,1296,2.449489743,1.817120593,3.301927249,0.166666667,0.027777778,0.00462963,0.000771605,0.40824829,0.550321208,0.302853432,100,1000,10000,3.16227766,2.15443469,4.641588834,0.1,0.01,0.001,0.0001,0.316227766,0.464158883,0.215443469,1
7.3737971,16,7,9,256,4096,65536,4,2.5198421,6.349604208,0.0625,0.00390625,0.000244141,1.52588E-05,0.25,0.396850263,0.157490131,49,343,2401,2.645751311,1.912931183,3.65930571,0.142857143,0.020408163,0.002915452,0.000416493,0.377964473,0.522757959,0.273275883,81,729,6561,3,2.080083823,4.326748711,0.111111111,0.012345679,0.001371742,0.000152416,0.333333333,0.480749857,0.231120425,-1
7.9762072,16,8,8,256,4096,65536,4,2.5198421,6.349604208,0.0625,0.00390625,0.000244141,1.52588E-05,0.25,0.396850263,0.157490131,64,512,4096,2.828427125,2,4,0.125,0.015625,0.001953125,0.000244141,0.353553391,0.5,0.25,64,512,4096,2.828427125,2,4,0.125,0.015625,0.001953125,0.000244141,0.353553391,0.5,0.25,1
6.964049,16,9,7,256,4096,65536,4,2.5198421,6.349604208,0.0625,0.00390625,0.000244141,1.52588E-05,0.25,0.396850263,0.157490131,81,729,6561,3,2.080083823,4.326748711,0.111111111,0.012345679,0.001371742,0.000152416,0.333333333,0.480749857,0.231120425,49,343,2401,2.645751311,1.912931183,3.65930571,0.142857143,0.020408163,0.002915452,0.000416493,0.377964473,0.522757959,0.273275883,-1
6.0831777,16,10,6,256,4096,65536,4,2.5198421,6.349604208,0.0625,0.00390625,0.000244141,1.52588E-05,0.25,0.396850263,0.157490131,100,1000,10000,3.16227766,2.15443469,4.641588834,0.1,0.01,0.001,0.0001,0.316227766,0.464158883,0.215443469,36,216,1296,2.449489743,1.817120593,3.301927249,0.166666667,0.027777778,0.00462963,0.000771605,0.40824829,0.550321208,0.302853432,1
5.2696677,17,5,12,289,4913,83521,4.123105626,2.571281591,6.611489018,0.058823529,0.003460208,0.000203542,1.1973E-05,0.242535625,0.388911119,0.151251858,25,125,625,2.236067977,1.709975947,2.924017738,0.2,0.04,0.008,0.0016,0.447213595,0.584803548,0.341995189,144,1728,20736,3.464101615,2.289428485,5.241482788,0.083333333,0.006944444,0.000578704,4.82253E-05,0.288675135,0.436790232,0.190785707,0
6.5580262,17,6,11,289,4913,83521,4.123105626,2.571281591,6.611489018,0.058823529,0.003460208,0.000203542,1.1973E-05,0.242535625,0.388911119,0.151251858,36,216,1296,2.449489743,1.817120593,3.301927249,0.166666667,0.027777778,0.00462963,0.000771605,0.40824829,0.550321208,0.302853432,121,1331,14641,3.31662479,2.223980091,4.946087443,0.090909091,0.008264463,0.000751315,6.83013E-05,0.301511345,0.449644313,0.202180008,0
7.2862294,17,7,10,289,4913,83521,4.123105626,2.571281591,6.611489018,0.058823529,0.003460208,0.000203542,1.1973E-05,0.242535625,0.388911119,0.151251858,49,343,2401,2.645751311,1.912931183,3.65930571,0.142857143,0.020408163,0.002915452,0.000416493,0.377964473,0.522757959,0.273275883,100,1000,10000,3.16227766,2.15443469,4.641588834,0.1,0.01,0.001,0.0001,0.316227766,0.464158883,0.215443469,0
7.7507291,17,8,9,289,4913,83521,4.123105626,2.571281591,6.611489018,0.058823529,0.003460208,0.000203542,1.1973E-05,0.242535625,0.388911119,0.151251858,64,512,4096,2.828427125,2,4,0.125,0.015625,0.001953125,0.000244141,0.353553391,0.5,0.25,81,729,6561,3,2.080083823,4.326748711,0.111111111,0.012345679,0.001371742,0.000152416,0.333333333,0.480749857,0.231120425,0
