y,Z,A,N,parity ,Z^2,Z^3,Z^4,Z^(1/2),Z^(3/2),Z^(5/2),Z^(-1),Z^(-2),Z^(-3),Z^(-4),Z^(-1/2),Z^(-3/2),Z^(-5/2),A^2,A^3,A^4,A^(1/2),A^(3/2),A^(5/2),A^(-1),A^(-2),A^(-3),A^(-4),A^(-1/2),A^(-3/2),A^(-5/2),N^2,N^3,N^4,N^(1/2),N^(3/2),N^(5/2),N^(-1),N^(-2),N^(-3),N^(-4),N^(-1/2),N^(-3/2),N^(-5/2)
8.7008748,33,75,42,1,1089,35937,1185921,5.744562647,189.5705673,6255.828722,0.03030303,0.000918274,2.78265E-05,8.43226E-07,0.174077656,0.00527508,0.000159851,5625,421875,31640625,8.660254038,649.5190528,48713.92896,0.013333333,0.000177778,2.37037E-06,3.16049E-08,0.115470054,0.001539601,2.0528E-05,1764,74088,3111696,6.480740698,272.1911093,11432.02659,0.023809524,0.000566893,1.34975E-05,3.21368E-07,0.15430335,0.003673889,8.74736E-05
8.7114781,34,76,42,0,1156,39304,1336336,5.830951895,198.2523644,6740.58039,0.029411765,0.000865052,2.54427E-05,7.48315E-07,0.171498585,0.005044076,0.000148355,5776,438976,33362176,8.717797887,662.5526394,50354.0006,0.013157895,0.00017313,2.27803E-06,2.99741E-08,0.114707867,0.001509314,1.98594E-05,1764,74088,3111696,6.480740698,272.1911093,11432.02659,0.023809524,0.000566893,1.34975E-05,3.21368E-07,0.15430335,0.003673889,8.74736E-05
8.6875956,35,79,44,1,1225,42875,1500625,5.916079783,207.0627924,7247.197734,0.028571429,0.000816327,2.33236E-05,6.66389E-07,0.169030851,0.004829453,0.000137984,6241,493039,38950081,8.888194417,702.167359,55471.22136,0.012658228,0.000160231,2.02824E-06,2.56739E-08,0.11250879,0.001424162,1.80274E-05,1936,85184,3748096,6.633249581,291.8629816,12841.97119,0.022727273,0.000516529,1.17393E-05,2.66802E-07,0.150755672,0.003426265,7.78697E-05
8.6929301,36,80,44,0,1296,46656,1679616,6,216,7776,0.027777778,0.000771605,2.14335E-05,5.95374E-07,0.166666667,0.00462963,0.000128601,6400,512000,40960000,8.94427191,715.5417528,57243.34022,0.0125,0.00015625,1.95313E-06,2.44141E-08,0.111803399,0.001397542,1.74693E-05,1936,85184,3748096,6.633249581,291.8629816,12841.97119,0.022727273,0.000516529,1.17393E-05,2.66802E-07,0.150755672,0.003426265,7.78697E-05
8.6974416,37,85,48,1,1369,50653,1874161,6.08276253,225.0622136,8327.301904,0.027027027,0.00073046,1.97422E-05,5.33572E-07,0.164398987,0.004443216,0.000120087,7225,614125,52200625,9.219544457,783.6612789,66611.2087,0.011764706,0.000138408,1.62833E-06,1.91569E-08,0.108465229,0.001276062,1.50125E-05,2304,110592,5308416,6.92820323,332.5537551,15962.58024,0.020833333,0.000434028,9.04225E-06,1.8838E-07,0.144337567,0.003007033,6.26465E-05
8.6775132,38,84,46,0,1444,54872,2085136,6.164414003,234.2477321,8901.41382,0.026315789,0.000692521,1.82242E-05,4.79585E-07,0.162221421,0.004268985,0.000112342,7056,592704,49787136,9.16515139,769.8727168,64669.30821,0.011904762,0.000141723,1.68718E-06,2.00855E-08,0.109108945,0.001298916,1.54633E-05,2116,97336,4477456,6.782329983,311.9871792,14351.41024,0.02173913,0.00047259,1.02737E-05,2.23341E-07,0.147441956,0.00320526,6.96796E-05
8.7084566,38,86,48,1,1444,54872,2085136,6.164414003,234.2477321,8901.41382,0.026315789,0.000692521,1.82242E-05,4.79585E-07,0.162221421,0.004268985,0.000112342,7396,636056,54700816,9.273618495,797.5311906,68587.68239,0.011627907,0.000135208,1.57219E-06,1.82813E-08,0.107832773,0.001253869,1.45799E-05,2304,110592,5308416,6.92820323,332.5537551,15962.58024,0.020833333,0.000434028,9.04225E-06,1.8838E-07,0.144337567,0.003007033,6.26465E-05
8.7325958,38,88,50,1,1444,54872,2085136,6.164414003,234.2477321,8901.41382,0.026315789,0.000692521,1.82242E-05,4.79585E-07,0.162221421,0.004268985,0.000112342,7744,681472,59969536,9.38083152,825.5131737,72645.15929,0.011363636,0.000129132,1.46741E-06,1.66751E-08,0.106600358,0.001211368,1.37655E-05,2500,125000,6250000,7.071067812,353.5533906,17677.66953,0.02,0.0004,0.000008,0.00000016,0.141421356,0.002828427,5.65685E-05
8.714011,39,89,50,1,1521,59319,2313441,6.244997998,243.5549219,9498.641956,0.025641026,0.000657462,1.6858E-05,4.32257E-07,0.160128154,0.00410585,0.000105278,7921,704969,62742241,9.433981132,839.6243208,74726.56455,0.011235955,0.000126247,1.4185E-06,1.59382E-08,0.105999788,0.001191009,1.33821E-05,2500,125000,6250000,7.071067812,353.5533906,17677.66953,0.02,0.0004,0.000008,0.00000016,0.141421356,0.002828427,5.65685E-05
8.7099699,40,90,50,0,1600,64000,2560000,6.32455532,252.9822128,10119.28851,0.025,0.000625,0.000015625,3.90625E-07,0.158113883,0.003952847,9.88212E-05,8100,729000,65610000,9.486832981,853.8149682,76843.34714,0.011111111,0.000123457,1.37174E-06,1.52416E-08,0.105409255,0.001171214,1.30135E-05,2500,125000,6250000,7.071067812,353.5533906,17677.66953,0.02,0.0004,0.000008,0.00000016,0.141421356,0.002828427,5.65685E-05
8.6641849,41,93,52,1,1681,68921,2825761,6.403124237,262.5280937,10763.65184,0.024390244,0.000594884,1.45094E-05,3.53887E-07,0.156173762,0.003809116,9.29053E-05,8649,804357,74805201,9.643650761,896.8595208,83407.93543,0.010752688,0.00011562,1.24323E-06,1.33681E-08,0.103695169,0.001115002,1.19893E-05,2704,140608,7311616,7.211102551,374.9773326,19498.8213,0.019230769,0.000369822,7.11197E-06,1.36769E-07,0.138675049,0.002666828,5.12852E-05
8.6623341,42,94,52,0,1764,74088,3111696,6.480740698,272.1911093,11432.02659,0.023809524,0.000566893,1.34975E-05,3.21368E-07,0.15430335,0.003673889,8.74736E-05,8836,830584,78074896,9.695359715,911.3638132,85668.19844,0.010638298,0.000113173,1.20397E-06,1.28082E-08,0.103142125,0.001097257,1.16729E-05,2704,140608,7311616,7.211102551,374.9773326,19498.8213,0.019230769,0.000369822,7.11197E-06,1.36769E-07,0.138675049,0.002666828,5.12852E-05
